id,type_valeur,montant,code_banque_don,code_banque_dest,rib_donneur,rib_beneficiaire,rib_donneur_valide,rib_beneficiaire_valide,date_operation,echeance_depassee,meme_banque,situation_donneur,type_compte,a_ete_rejete,code_rejet
23,10,19858.944,08,12,08785875620414781228,12547075784244429307,1,1,20260216,0,0,0,1,0,00
24,10,19551.173,26,02,26865608006147726281,02198526279303635839,1,1,20260427,0,0,0,1,0,00
25,10,1184.943,04,08,04159373774312233979,08811439755769971886,1,1,20260226,0,0,0,1,0,00
26,10,1085.303,26,14,26127909852785604458,14346356805627484849,1,1,20260304,0,0,0,1,0,00
27,10,536.719,26,12,26347025786354700557,12666140603803557069,1,1,20260508,0,0,0,1,0,00
28,10,248.184,07,25,07305721021150152321,25897766299210661620,1,1,20260217,0,0,0,1,0,00
29,20,717.213,01,08,01803773345461696058,08151422311043912683,1,1,20260305,0,0,0,1,0,00
30,10,855.054,26,05,26854709760120871807,05359855399164514938,1,1,20260319,0,0,0,2,0,00
31,20,1664.405,05,01,05168184690949150216,01693329473067251672,1,1,20260213,0,0,0,2,0,00
32,20,81.953,26,05,26507189148870087928,05025622142512400989,1,1,20260421,0,0,0,1,0,00
33,20,4146.189,17,10,17655989960694596460,10519827161362196092,1,1,20260220,0,0,0,1,0,00
34,20,8462.316,10,17,10039703581091629179,17414612630487898656,1,1,20260403,0,0,0,1,0,00
35,10,1260.883,26,01,26949808739445677108,01153633735429189807,1,1,20260310,0,0,0,1,0,00
36,10,688.321,26,07,26890092110722578829,07580418728281987814,1,1,20260213,0,0,0,2,0,00
37,20,1363.012,02,10,02040292771705727074,10571884935649826913,1,1,20260324,0,0,0,2,0,00
38,10,2043.777,08,25,08295108071725269897,25224145333130509554,1,0,20260508,0,0,0,1,1,07
39,10,2808.828,02,26,02459969113028663172,26974352074435284291,0,0,20260505,0,0,0,1,1,07
40,10,962.018,26,02,26492780471362479275,02916860338585544120,1,0,20260416,0,0,0,1,1,07
41,10,1050.722,26,01,26425752780855309717,01928101008039561518,1,1,20260327,0,0,0,2,0,00
42,20,98.627,26,02,26902858681771363373,02390959289156829226,1,0,20260327,0,0,0,1,1,07
43,10,3798.737,26,20,26312829225060497369,20805337102839413142,1,1,20260423,0,0,0,1,0,00
44,20,7010.675,26,08,26737297369164458534,08828768316508812423,1,1,20260429,0,0,0,1,0,00
45,10,279.477,26,17,26361043708538444026,17497775311843906241,1,1,20260226,0,0,0,1,0,00
46,10,1303.913,26,05,26216181867165363150,05746671406754510634,1,1,20260429,0,0,0,3,0,00
47,40,32341.247,10,25,10001244891158088881,25757831535251186253,1,1,20260224,0,0,0,2,0,00
48,30,1687.254,10,25,10143428000259279144,25942824971549841468,1,0,20260424,0,0,0,1,1,07
49,10,3691.194,26,08,26117832345213432793,08144931103986966783,1,0,20260417,0,0,0,2,1,07
50,10,5034.647,26,04,26559655458989798927,04584709431723698169,1,1,20260508,0,0,0,1,0,00
51,30,434.798,03,08,03655269888126412967,08374680672395963709,1,1,20260420,0,0,0,1,0,00
52,20,2622.242,26,11,26956447571259255109,11727150216375934811,1,1,20260331,0,0,0,1,0,00
53,10,12090.291,10,25,10279275437708435568,25978760453130611840,1,1,20260216,0,0,0,1,0,00
54,10,1251.206,26,11,26311525543909512732,11670526384211213169,1,1,20260310,0,0,0,1,0,00
55,20,170.208,26,11,26937584174138331548,11672162242198117827,1,1,20260220,0,0,0,1,0,00
56,10,1391.446,03,05,03260367046333561401,05628265645461455422,1,1,20260504,0,0,0,1,0,00
57,30,287.355,02,08,02164020436493131796,08227835949080788031,1,1,20260319,0,0,0,2,0,00
58,30,6245.058,02,01,02759175700672406472,01008786027270434773,1,0,20260312,0,0,0,1,1,07
59,10,4090.074,26,04,26520950778811203387,04590888961943715429,1,1,20260506,0,0,0,1,0,00
60,32,7254.504,17,17,17827981533420742988,17222660814477665528,0,1,20260423,0,1,0,1,0,00
61,40,945.596,26,20,26461540725266847951,20186704203729189480,1,1,20260320,0,0,0,1,0,00
62,30,2635.593,26,14,26602950814832657201,14101933397529454539,1,1,20260501,0,0,0,1,0,00
63,20,1126.896,01,07,01336963377112202584,07664954323606013084,1,1,20260227,0,0,0,1,0,00
64,20,1103.022,26,14,26987568948391205577,14849242929244304968,1,1,20260408,0,0,0,1,0,00
65,32,2314.21,26,12,26686837834795626701,12906598583731984318,1,1,20260313,0,0,0,1,0,00
66,10,1148.09,26,07,26199499784941426982,07933702284880143957,1,0,20260225,0,0,1,1,1,07
67,20,1268.196,20,10,20517158191265775966,10611206439335774551,1,1,20260302,0,0,0,1,0,00
68,10,2170.643,05,20,05760270932563681257,20709279778344768770,1,1,20260415,0,0,0,1,0,00
69,10,835.258,11,07,11520443552860644124,07260596482038319442,1,1,20260401,0,0,0,1,0,00
70,40,6222.661,08,11,08364847152947904265,11692182198650420372,1,1,20260217,0,0,2,2,1,02
71,30,1035.313,02,03,02191239854284433005,03551821205617534745,1,1,20260508,0,0,0,1,0,00
72,10,2301.673,11,26,11614658222928368674,26633237543708073809,1,1,20260416,0,0,0,1,0,00
73,30,6374.958,02,11,02598876021444342019,11445832017076758296,0,1,20260501,0,0,0,1,1,07
74,31,641.147,11,10,11348352517168076537,10262581059729080238,1,1,20260410,0,0,0,1,0,00
75,10,35644.882,26,20,26865964409588740878,20529742668620727795,1,1,20260310,0,0,0,1,0,00
76,20,777.748,05,20,05431603111303142725,20084009286189129125,1,1,20260303,1,0,0,1,0,00
77,10,2857.911,02,08,02258082069440867815,08294451326845912219,1,1,20260403,0,0,0,3,0,00
78,30,3881.262,26,26,26920617463470032901,26444120054713750334,1,0,20260313,0,1,0,1,1,07
79,10,474.52,01,14,01262494949426531820,14369305344801546228,1,1,20260306,0,0,0,1,0,00
80,10,2032.885,26,20,26139632072132021719,20214879246474043564,1,1,20260326,0,0,0,1,0,00
81,10,238.346,26,05,26184389502293569366,05102076821024123658,1,0,20260430,0,0,0,1,1,07
82,10,7119.495,02,04,02443461552599418765,04696822179076620396,0,1,20260227,0,0,0,2,1,07
83,30,3165.513,26,05,26942352721251706170,05746511971627676580,1,1,20260309,0,0,0,1,0,00
84,10,3239.437,12,01,12313850669937533144,01014134753671611760,1,1,20260428,0,0,0,1,0,00
85,20,636.306,01,17,01818785488028133192,17911220572409690837,1,1,20260423,0,0,0,1,0,00
86,30,1399.045,01,08,01452884322490456818,08355128681431885544,1,1,20260408,0,0,0,1,0,00
87,31,4054.017,04,20,04488550342805594463,20586457150392825037,1,1,20260302,0,0,0,1,0,00
88,31,1484.303,05,20,05119079549814564877,20033696384363287017,1,1,20260312,0,0,0,1,0,00
89,20,264.784,07,20,07516978647315809621,20362898924773003568,1,1,20260413,0,0,0,1,0,00
90,10,669.013,12,26,12820875015194455540,26446192570015832774,1,1,20260415,0,0,0,1,0,00
91,30,1392.632,26,11,26883104116797306073,11187371558493494710,1,1,20260218,0,0,2,1,1,02
92,30,302.838,03,08,03653938576120860245,08980342206901334139,1,1,20260414,0,0,0,1,0,00
93,20,688.994,04,12,04947429226669744323,12791931378268392466,1,1,20260331,0,0,0,1,0,00
94,10,4426.24,02,14,02290806473644888531,14326489766543225352,1,1,20260417,0,0,0,1,0,00
95,40,492.467,04,26,04206853675454706946,26202180958033844547,1,1,20260410,0,0,0,1,0,00
96,30,15930.797,26,03,26423506968018855324,03308420060029331038,1,1,20260212,0,0,0,1,0,00
97,10,3240.08,26,10,26889007240457229869,10660361752847676207,1,1,20260212,0,0,0,1,0,00
98,30,8082.651,26,03,26283050484570182501,03891163035666257363,0,1,20260429,0,0,0,1,1,07
99,10,2939.212,05,12,05474380062918217996,12166596653853232164,1,1,20260413,0,0,0,1,0,00
100,10,1718.483,01,03,01745313029894524781,03790318003608320929,1,1,20260227,0,0,0,1,0,00
101,10,666.687,26,12,26507483892708891356,12493760463084171288,1,1,20260414,0,0,0,1,0,00
102,10,4175.978,26,02,26443729506772908561,02619860054817419560,1,1,20260218,0,0,0,1,0,00
103,10,2862.454,11,17,11214657306251805570,17341409416232234060,1,1,20260430,0,0,0,1,0,00
104,10,1017.079,04,10,04153664390996004864,10006226585496062801,1,1,20260311,0,0,0,1,0,00
105,10,552.597,07,26,07597145155009299249,26932189665257780047,1,1,20260417,0,0,0,1,0,00
106,10,3434.87,26,20,26205046790649026944,20817640008249858704,1,1,20260508,0,0,0,1,0,00
107,30,1696.386,12,07,12937248712175587353,07335380115392225706,1,1,20260220,0,0,0,1,0,00
108,10,7850.109,10,14,10561817837899469365,14721242685906249338,1,0,20260410,0,0,0,1,1,07
109,30,552.583,07,20,07734909112961058273,20678204936596436692,1,1,20260401,0,0,0,2,0,00
110,10,5540.716,02,05,02070424715877767503,05914170553922023405,1,1,20260501,0,0,0,1,0,00
111,30,1361.737,25,26,25928692244928321905,26939832671644241398,0,0,20260417,0,0,0,1,1,07
112,30,959.449,26,14,26471446888595206306,14193755101310675387,1,1,20260414,0,0,0,1,0,00
113,40,7487.626,20,10,20008790336674678257,10179349068743646043,1,1,20260225,0,0,0,1,0,00
114,20,2590.819,26,20,26050579343248777769,20919777960334953154,1,1,20260320,0,0,0,1,0,00
115,10,5020.491,26,26,26355600698694718512,26909812709660873937,1,1,20260501,0,1,0,1,0,00
116,10,10945.521,14,11,14048166387004528995,11270536785574225179,1,1,20260217,0,0,0,1,0,00
117,31,1960.574,26,07,26177438849365391014,07276305300079716750,1,1,20260501,0,0,0,1,0,00
118,10,3084.373,04,14,04002510611446072382,14143839463083850272,1,0,20260413,0,0,0,1,1,07
119,10,11364.843,04,26,04232926009447675586,26946542578022704237,1,1,20260414,0,0,0,1,0,00
120,10,1435.461,01,08,01550642335903939079,08105362927709170727,1,1,20260422,0,0,0,1,0,00
121,32,2667.424,12,07,12920598937922742910,07283028491613636623,1,1,20260416,0,0,0,1,0,00
122,10,456.127,11,02,11469035993847894579,02625631425762719826,1,1,20260211,0,0,0,1,0,00
123,32,1560.481,02,14,02197810726975986915,14981716380657400892,1,1,20260316,0,0,0,1,0,00
124,20,2022.413,08,05,08602050527504725424,05982906819493551109,1,1,20260220,0,0,0,1,0,00
125,10,1538.001,26,25,26612297706102359412,25880373912577861774,1,1,20260406,0,0,0,1,0,00
126,10,774.43,12,08,12197461645793659130,08783798493572903366,1,1,20260410,0,0,0,1,0,00
127,10,1357.869,04,07,04393601088692436864,07924178998968823133,1,1,20260430,0,0,0,1,0,00
128,10,8466.545,04,05,04844891502124958945,05076365197667007304,1,1,20260219,0,0,0,2,0,00
129,30,166.909,26,04,26180423329446338543,04831315145326153539,1,1,20260424,0,0,0,1,0,00
130,10,869.547,07,11,07148831143645931967,11649963292842413968,1,1,20260302,0,0,0,1,0,00
131,10,26140.018,08,01,08004691000496197371,01410712290510153576,0,1,20260212,0,0,0,1,1,07
132,10,1831.901,01,12,01303455831819817878,12588989813610237519,1,1,20260223,0,0,0,1,0,00
133,10,8161.371,26,25,26869171957533537870,25096033152643472609,1,1,20260417,0,0,0,1,0,00
134,10,1093.354,26,01,26401851436704202504,01190673248585148727,1,1,20260227,0,0,0,1,0,00
135,10,1671.343,07,08,07058400135720224337,08621386325258534554,1,1,20260421,0,0,0,1,0,00
136,10,2679.628,04,10,04137372626995125386,10742090277357663843,1,1,20260415,0,0,0,1,0,00
137,30,4218.752,26,17,26953353069586618960,17054203202378259445,0,1,20260428,0,0,0,1,1,07
138,10,1351.246,26,07,26169998615300413049,07644593061827723190,1,1,20260504,0,0,0,2,0,00
139,10,1307.917,26,25,26551968351319460918,25858695577524148960,1,1,20260313,0,0,0,1,0,00
140,10,1277.631,26,07,26747413645126154963,07929931301751598602,1,1,20260420,0,0,0,1,0,00
141,20,27637.302,11,26,11197949696229255269,26067776933242762873,1,1,20260501,1,0,0,1,1,09
142,20,5254.523,26,11,26266770818098386529,11965811827873038151,1,1,20260331,0,0,0,1,0,00
143,10,602.381,26,07,26850196118622649540,07557780265675216052,1,1,20260416,0,0,0,1,0,00
144,30,7052.615,26,20,26343552766549748857,20065562661604866112,1,1,20260401,0,0,0,1,0,00
145,10,7674.123,26,03,26533970634540818907,03498858551726420760,1,1,20260501,0,0,0,1,0,00
146,10,854.983,26,04,26945181262852809218,04481176118549586975,1,1,20260310,0,0,0,1,0,00
147,30,762.95,26,02,26154302834643113948,02621987284249374922,1,0,20260309,0,0,0,1,0,00
148,30,277.076,07,10,07206924681360189617,10732965292153425236,1,1,20260306,0,0,0,2,0,00
149,10,3232.817,26,10,26519208572713290631,10155913857165860776,1,1,20260427,0,0,0,2,0,00
150,10,3430.617,04,25,04688457672356807714,25708225760566894019,1,1,20260403,0,0,0,1,0,00
151,10,1372.53,26,11,26116073611515136788,11591281773001811566,1,1,20260508,0,0,0,1,0,00
152,10,177.279,01,20,01601734452419009686,20130346150684432816,1,1,20260318,0,0,0,1,0,00
153,20,3211.786,12,12,12132310986351619796,12056071504690165258,1,1,20260423,0,1,0,1,0,00
154,10,4086.691,20,04,20193303149892725309,04984570500762586235,1,1,20260504,0,0,0,1,0,00
155,10,1773.834,11,14,11122056875276281292,14114034540204457906,1,1,20260410,0,0,0,1,0,00
156,10,5427.383,26,12,26327136219104558393,12129549521506696994,1,0,20260313,0,0,0,1,1,07
157,20,1118.922,26,14,26413108866291680390,14736569691340092981,1,1,20260220,0,0,0,1,0,00
158,20,2497.77,26,11,26130316865909844553,11041777007481878338,1,1,20260413,0,0,0,1,0,00
159,32,4004.888,03,25,03554341080313778454,25247293989901421076,1,1,20260417,0,0,0,2,0,00
160,31,686.38,25,01,25355733456375008955,01118976536899609852,1,1,20260508,0,0,0,1,0,00
161,10,1627.951,04,12,04894194371986601312,12276267132153513563,1,1,20260327,0,0,0,1,0,00
162,20,3491.14,10,08,10443429464482509480,08840485797266956184,1,1,20260216,0,0,0,1,0,00
163,10,3626.846,26,01,26214831421091572845,01895817943943739501,1,1,20260330,0,0,0,1,0,00
164,30,3470.826,26,17,26410555596950215778,17563977475486701779,1,1,20260212,0,0,0,1,0,00
165,30,766.569,12,17,12791183766704110410,17226322151774963036,1,1,20260409,0,0,2,1,1,02
166,40,869.675,26,04,26275965071487184950,04414522979911451483,1,1,20260211,0,0,0,1,0,00
167,10,2356.588,26,17,26845841976723450301,17011946406763749808,1,1,20260428,0,0,0,2,0,00
168,10,537.933,10,01,10099411699953406795,01105742985425295301,1,1,20260318,0,0,0,1,0,00
169,31,1677.119,01,04,01510861838193419061,04167907295690565303,1,1,20260311,0,0,0,1,0,00
170,30,2420.545,11,08,11811167098332505159,08754606473965436412,1,1,20260410,0,0,0,1,0,00
171,10,1075.64,14,05,14007843114699864934,05394952470064408016,1,1,20260216,0,0,0,1,0,00
172,30,4687.16,02,26,02673700399580694794,26238633558474158296,1,1,20260327,0,0,0,1,0,00
173,10,1121.022,26,03,26866476652406801267,03211765993801320489,1,1,20260317,0,0,0,1,0,00
174,84,7498.391,05,14,05709378327419821047,14798726008725230483,1,1,20260401,0,0,0,3,0,00
175,10,1265.812,14,26,14679017516315887244,26547143638156356341,1,1,20260326,0,0,0,1,0,00
176,30,1207.158,02,08,02380611990368266603,08674515921514122571,1,1,20260506,0,0,0,1,0,00
177,20,916.156,02,20,02723498247537223876,20869752787350370210,1,1,20260507,0,0,0,1,0,00
178,20,471.434,26,20,26835297436688479020,20057752274964799397,1,1,20260327,0,0,0,1,0,00
179,10,206.375,01,14,01921660565515380746,14677030514615544293,1,1,20260421,0,0,0,1,0,00
180,10,1052.683,20,12,20163118464637996991,12559454614928592681,1,1,20260213,0,0,0,1,0,00
181,84,6608.205,05,20,05111102260853221138,20126948115913540590,1,1,20260326,0,0,0,1,0,00
182,31,5604.618,26,05,26584404237641559930,05830587704654725461,1,1,20260210,0,0,0,1,0,00
183,30,12705.711,01,12,01804354566875540840,12073879207649693824,1,1,20260415,0,0,0,1,0,00
184,10,8634.627,02,11,02694259541991615487,11404673000043826790,1,1,20260213,0,0,0,1,0,00
185,10,1200.395,14,12,14243581092342911654,12297916662609041854,1,1,20260220,0,0,0,1,0,00
186,20,1783.153,04,04,04729920425734433360,04292341181514366522,1,1,20260406,0,1,0,1,0,00
187,10,7795.0,11,17,11099969231282413611,17270624099904980007,1,1,20260324,0,0,0,3,0,00
188,10,2454.111,26,25,26682311806221959176,25954398853603471468,1,1,20260220,0,0,0,1,0,00
189,10,1975.032,26,11,26798891238262668166,11445581149997814629,1,1,20260410,0,0,0,1,0,00
190,10,1532.726,26,03,26698090316191437374,03558541718823782476,1,1,20260417,0,0,0,1,0,00
191,10,443.43,01,03,01229206697494409422,03534060114960900590,1,0,20260402,0,0,0,1,1,07
192,31,27687.304,26,07,26759955559625266786,07601489468318129121,0,1,20260331,0,0,0,1,1,07
193,10,3955.125,10,12,10606340181472536954,12174259890217615213,1,1,20260224,0,0,0,1,0,00
194,10,255.289,26,12,26914856480495630777,12506326175648442077,1,1,20260306,0,0,0,1,0,00
195,10,4304.397,26,08,26020531818958820016,08819428822415685252,1,1,20260506,0,0,1,2,0,00
196,20,2067.631,26,05,26884968787161130407,05214897101639462932,1,1,20260227,0,0,0,1,0,00
197,30,718.213,26,25,26158246716067180558,25017252741383997445,1,1,20260219,0,0,0,1,0,00
198,10,2160.951,26,20,26016720413085738186,20649452356060451932,1,1,20260220,0,0,0,2,0,00
199,30,8817.528,26,08,26442758311498273515,08874524206362441944,1,1,20260424,0,0,0,1,0,00
200,10,633.131,26,04,26924717416159282253,04693676849254316423,1,1,20260417,0,0,0,1,0,00
201,10,2627.193,14,11,14555155231160605210,11344517477517557044,1,1,20260227,0,0,0,1,0,00
202,32,344.205,02,14,02746239117795473320,14261001769841676664,1,1,20260417,0,0,0,1,0,00
203,10,1916.943,26,02,26872266661929821805,02816983826679322443,1,0,20260421,0,0,0,1,1,07
204,10,125.358,02,25,02822571810916745019,25623572030740789163,1,1,20260218,0,0,0,1,0,00
205,10,1559.292,26,02,26302576205754710079,02687358004944957269,1,1,20260310,0,0,0,1,0,00
206,10,2619.81,20,11,20012980085364967751,11385753723563365789,1,1,20260227,0,0,1,1,0,00
207,20,2975.915,26,14,26292870117039486781,14736864495482266525,1,1,20260227,0,0,0,1,0,00
208,10,958.764,26,08,26337976901302777536,08550483960869861569,1,1,20260501,0,0,0,1,0,00
209,40,5541.953,12,03,12086978453468955733,03379326411570511642,1,1,20260424,0,0,0,1,0,00
210,10,218.52,01,08,01212100923103695586,08379813407754722187,1,1,20260211,0,0,0,1,0,00
211,10,1723.525,10,26,10749966003443768633,26639906069782338611,1,1,20260402,0,0,0,1,0,00
212,10,335.262,26,10,26702168163164042689,10614741875968625638,1,1,20260227,0,0,0,2,0,00
213,30,1724.886,26,07,26481043032180634915,07821058165433534513,1,1,20260505,0,0,0,1,0,00
214,10,220.138,11,08,11144737728201591514,08558004987220207050,1,1,20260316,0,0,0,1,0,00
215,20,80.893,26,14,26249450515878972790,14176555290395916633,1,1,20260212,0,0,0,1,0,00
216,10,21475.221,02,01,02823891525273958173,01071113871731965938,1,1,20260316,0,0,0,2,0,00
217,30,169.084,25,10,25404100734767759153,10336500224095692314,1,1,20260212,0,0,0,2,0,00
218,30,735.908,26,17,26385799107663851042,17641834237388519635,1,1,20260409,0,0,0,1,0,00
219,10,1426.341,02,25,02192957013189773442,25644817109282869068,1,1,20260217,0,0,0,1,0,00
220,31,260.825,11,26,11568688561800254183,26169933479343527529,1,1,20260417,0,0,0,1,0,00
221,30,509.654,12,02,12138681016953004080,02540600192089741497,1,1,20260424,0,0,0,1,0,00
222,10,2461.598,01,14,01890828569195511158,14544904714794125472,1,1,20260403,0,0,0,1,0,00
223,10,1180.697,26,02,26359022058769758237,02159998368118284514,1,1,20260220,0,0,0,1,0,00
224,10,380.1,05,02,05330632950218213194,02945597991827722502,1,1,20260413,0,0,0,1,0,00
225,10,4665.814,26,03,26715373754333838972,03614969272094195980,1,1,20260421,0,0,0,1,0,00
226,20,1354.674,20,04,20624107323400250110,04255606395785835723,1,1,20260417,0,0,0,2,0,00
227,10,627.644,03,04,03272530525531812961,04049608046287246301,1,1,20260506,0,0,0,1,0,00
228,10,8850.119,01,11,01013230530128763011,11664328933814384817,1,1,20260417,0,0,0,1,0,00
229,10,1469.746,01,02,01837482268510109943,02345976271192607633,1,0,20260508,0,0,0,1,1,07
230,40,3890.965,04,20,04719127759883009456,20766156057469536929,1,1,20260210,0,0,0,1,0,00
231,20,12629.314,17,20,17751869675729905063,20569116197566598809,1,1,20260220,0,0,0,1,0,00
232,40,861.084,26,12,26783754032045125372,12585431591628475928,1,1,20260306,0,0,0,1,0,00
233,10,6720.655,14,17,14492390339821880520,17794728150626384214,1,1,20260327,0,0,3,1,1,04
234,10,938.336,05,03,05339466239671867509,03550834803689578988,1,1,20260501,0,0,0,2,0,00
235,10,725.314,26,02,26899569817631745617,02959907380159037955,1,1,20260313,0,0,0,1,0,00
236,30,2062.717,11,14,11982413949316991035,14926400058904880704,1,1,20260302,0,0,0,1,0,00
237,32,1140.646,25,17,25659118703003128163,17964014906357510708,1,1,20260409,0,0,0,2,0,00
238,32,2304.771,04,01,04074982449633683388,01950560285542402350,1,1,20260424,0,0,0,1,0,00
239,10,2848.65,26,11,26597819798067232670,11905257516111006482,1,1,20260403,0,0,0,1,0,00
240,10,4164.921,03,14,03023554332976806908,14311042431320974373,0,1,20260227,0,0,0,1,1,07
241,10,8590.712,11,03,11832490224280399339,03241105264863444994,1,1,20260316,0,0,0,1,0,00
242,10,40827.048,05,10,05502205080506256077,10673458039798213180,1,1,20260312,0,0,2,2,1,02
243,30,13434.981,02,20,02703561746040733149,20965084519903659057,1,1,20260305,0,0,0,2,0,00
244,32,612.99,26,05,26500909822989271233,05226017816428504657,1,1,20260210,0,0,0,1,0,00
245,10,409.937,26,05,26708326219737048087,05411359724606778545,1,1,20260302,0,0,0,1,0,00
246,30,1083.501,02,04,02580302458880871054,04513586410102572996,1,1,20260501,0,0,0,1,0,00
247,84,3312.837,05,10,05495586485530487734,10773822085178811615,1,1,20260313,0,0,0,1,0,00
248,20,911.711,01,10,01957659881645065386,10561831714570034851,1,1,20260427,0,0,0,1,0,00
249,20,1006.541,01,10,01207717399040672256,10455327261057098245,1,1,20260422,0,0,0,2,0,00
250,31,4895.939,26,01,26077044673632532814,01053659465912120761,1,1,20260210,0,0,0,1,0,00
251,10,4204.773,25,02,25898544927747972153,02937183190388385046,1,1,20260304,0,0,1,1,0,00
252,20,1561.203,26,11,26188860156286550411,11762269246291573805,1,1,20260220,0,0,0,1,0,00
253,20,138.804,05,08,05234238255686074869,08746441298602108791,1,0,20260508,0,0,0,2,1,07
254,10,1517.584,05,01,05679695422838313503,01166402450829217219,1,1,20260309,0,0,0,1,0,00
255,30,5870.299,01,20,01232869978591138633,20626768720113538305,1,1,20260306,0,0,0,1,0,00
256,10,4037.171,26,12,26207140862352658419,12820290226602786603,1,1,20260410,0,0,0,1,0,00
257,10,6147.076,26,10,26235350653620320151,10757703346750625792,0,0,20260227,0,0,0,1,1,07
258,20,105.38,26,11,26669132697525169682,11484736346929424290,1,1,20260327,0,0,0,2,0,00
259,31,504.187,17,20,17091739257854118194,20336236813819097891,0,1,20260318,0,0,0,1,1,07
260,10,217.272,02,04,02241325671559499651,04643398321437651231,1,1,20260414,0,0,0,1,0,00
261,10,2970.819,02,26,02192919204207582801,26569025734856633385,1,1,20260414,0,0,2,3,1,02
262,32,3390.727,03,05,03762611091685919970,05093860813832065983,1,0,20260504,0,0,0,1,1,07
263,31,2777.186,26,04,26959039987369289397,04834941959053216841,1,1,20260320,0,0,0,1,0,00
264,10,1953.557,03,11,03793983218154435470,11443385999295049534,1,1,20260213,0,0,0,1,0,00
265,10,8630.938,26,14,26932542180806562207,14349031972668507080,1,1,20260320,0,0,0,1,0,00
266,30,2132.807,01,11,01268076099501419081,11886777520149490007,1,1,20260217,0,0,0,1,0,00
267,10,701.741,07,12,07509516209289553750,12149684435120117701,1,1,20260429,0,0,0,2,0,00
268,30,9396.449,12,26,12892193309707687496,26568929634863596970,1,1,20260508,0,0,0,1,0,00
269,31,70.526,26,12,26019651299493137423,12037927511869854028,1,0,20260327,0,0,0,1,1,07
270,30,2716.846,26,08,26252626893687784470,08339474376544913725,1,1,20260428,0,0,0,2,0,00
271,10,3636.774,08,05,08559576143890528414,05157588783544315891,1,1,20260210,0,0,1,1,0,00
272,30,3359.401,26,07,26242197267217260575,07172826572232835746,1,1,20260410,0,0,0,1,0,00
273,10,2129.004,26,07,26983503226937824384,07654959372405478765,1,1,20260505,0,0,0,1,0,00
274,10,4214.17,11,20,11757889070167026816,20440789270767056477,1,0,20260216,0,0,0,1,1,07
275,10,1057.157,17,03,17303587346748933797,03977740313740608274,1,1,20260210,0,0,0,1,0,00
276,10,227.03,07,07,07341217696484123466,07461264456997834446,1,0,20260312,0,1,0,1,1,07
277,31,171.409,01,05,01916457763536049948,05575368438487364903,1,1,20260216,0,0,0,1,1,10
278,10,3143.179,07,26,07242454148391228394,26256006618842225360,1,1,20260507,0,0,0,1,0,00
279,20,14096.504,26,20,26030978587893864443,20641192759408221325,1,1,20260508,1,0,0,1,1,09
280,30,35168.965,26,11,26477052229974388065,11098746094291183326,1,1,20260422,0,0,0,1,0,00
281,10,3146.932,03,20,03541661299361266988,20156024630512355657,0,1,20260501,0,0,1,1,1,07
282,10,1776.87,03,17,03465926732089558013,17108457411942927656,0,1,20260508,0,0,0,1,0,00
